LAT,LON,PARAMETER,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
33.25,-119.75,CLRSKY_SFC_SW_DWN,              3.89,              5.03,              6.46,              7.79,              8.60,              8.85,              8.56,              7.86,              6.74,              5.38,              4.16,              3.55,              6.41
33.25,-119.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.25,-119.75,ALLSKY_SFC_SW_DWN,              3.21,              4.06,              5.34,              6.66,              6.99,              6.63,              6.03,              5.80,              5.20,              4.23,              3.60,              3.01,              5.06
33.75,-124.25,DNR,              4.68,              4.92,              5.74,              6.78,              6.62,              5.84,              4.66,              5.20,              5.15,              5.44,              5.16,              4.63,              5.40
33.75,-124.25,KT,              0.54,              0.55,              0.57,              0.60,              0.59,              0.56,              0.49,              0.53,              0.55,              0.57,              0.56,              0.54,              0.55
33.75,-124.25,CLRSKY_SFC_SW_DWN,              3.83,              4.94,              6.36,              7.64,              8.43,              8.72,              8.51,              7.81,              6.71,              5.31,              4.06,              3.50,              6.32
33.75,-124.25,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-124.25,ALLSKY_SFC_SW_DWN,              2.91,              3.66,              4.85,              6.14,              6.57,              6.33,              5.57,              5.53,              4.86,              4.13,              3.24,              2.70,              4.71
33.75,-123.75,DNR,              4.83,              5.00,              5.86,              6.89,              6.70,              6.01,              4.51,              5.15,              5.21,              5.44,              5.31,              4.76,              5.47
33.75,-123.75,KT,              0.55,              0.55,              0.58,              0.61,              0.59,              0.56,              0.48,              0.52,              0.55,              0.57,              0.58,              0.55,              0.56
33.75,-123.75,CLRSKY_SFC_SW_DWN,              3.84,              4.94,              6.40,              7.66,              8.46,              8.72,              8.52,              7.84,              6.72,              5.31,              4.08,              3.51,              6.33
33.75,-123.75,ALLSKY_TOA_SW_DWN,              5.38,              6.76,              8.52,             10.11,             11.14,             11.52,             11.28,             10.42,              9.03,              7.29,              5.72,              4.95,              8.51
33.75,-123.75,ALLSKY_SFC_SW_DWN,              2.96,              3.69,              4.90,              6.19,              6.61,              6.42,              5.48,              5.50,              4.89,              4.13,              3.29,              2.74,              4.73
